faq_id,category,question,answer,language
faq_001,payment,Down payment kitna hota hai?,"Ye property se property vary karta hai, generally 20% se 50% tak. Poori detail property ki payment plan mein mil jayegi.",urdulish
faq_002,payment,Kya installment plan available hai har property par?,Zyadatar under-construction aur naye launch properties par installment plans available hain. Ready-to-move properties par aksar full payment required hoti hai.,urdulish
faq_003,payment,Installment plan kitne saal ka hota hai?,"Zyadatar plans 2 se 4 saal ke tenure mein hote hain, quarterly installments ke saath. Exact tenure property ki payment plan mein confirm ho jata hai.",urdulish
faq_004,payment,Kya late installment par penalty lagti hai?,"Ye policy developer se developer alag hoti hai. Ye detail mere paas abhi nahi hai, mein confirm kar ke aap ko bata deta hoon.",urdulish
faq_005,legal,Kya property clear title hai?,"Sab humari listings verified aur clear title ke saath hoti hain, documentation site visit ke waqt dikhayi jati hai.",urdulish
faq_006,legal,Kya aap registry aur transfer mein madad karte hain?,"Jee haan, humari legal team registry aur transfer ke pure process mein madad karti hai, advisory ke liye koi extra charge nahi hai.",urdulish
faq_007,legal,Buy karne ke liye kaun se documents chahiye?,CNIC copy aur proof of funds required hoti hai. Overseas Pakistanis ke liye Power of Attorney ke zariye bhi transaction complete ho sakta hai.,urdulish
faq_008,legal,Kya overseas Pakistani property remotely buy kar sakte hain?,"Jee bilkul, Power of Attorney embassy ya consulate se attest kara ke Pakistan mein representative ke through poora process ho jata hai.",urdulish
faq_009,legal,Property transfer par tax lagta hai kya?,"Jee haan, buyer ko withholding tax dena hota hai aur seller ko capital gains tax, rate filer status aur holding period par depend karta hai.",urdulish
faq_010,amenities,Community mein kya amenities available hain?,"Har property alag hoti hai — kuch mein security, park, gym, aur club house shamil hain. Exact list property ki detail mein confirm ho jayegi.",urdulish
faq_011,amenities,Kya property mein swimming pool hai?,Ye har listing par depend karta hai. Mein retrieved data check kar ke bata sakta hoon ke is specific property mein pool available hai ya nahi.,urdulish
faq_012,location,School aur hospital kitni door hain?,"Zyadatar humari listings mein nearby schools aur hospitals ki distance record hoti hai, 1 se 5 kilometer ke andar. Specific property ke liye mein confirm kar deta hoon.",urdulish
faq_013,location,Ye area safe hai kya?,Har location ka apna security setup hota hai — gated societies mein aksar 24/7 security available hoti hai. Mein aap ko exact details retrieved data se bata sakta hoon.,urdulish
faq_014,investment,Kya ye acha investment hai?,"Mein guaranteed returns ka wada nahi kar sakta, lekin agar historical price trend data available ho to mein woh aap ko share kar deta hoon.",urdulish
faq_015,investment,Property ki value future mein barhegi kya?,"Ye prediction mere paas nahi hai — hum sirf historical listing data rakhte hain, future price ka andaza nahi laga sakte.",urdulish
faq_016,builder,Ye builder acha hai?,Kuch developers ka track record hamare paas record hota hai — jaise active projects aur founding year. Specific developer ke baare mein mein confirm kar ke bata deta hoon.,urdulish
faq_017,maintenance,Maintenance charges kitne hain?,"Ye har society aur property ke hisaab se different hoti hai. Ye detail mere paas abhi nahi hai, mein confirm kar ke aap ko bata deta hoon.",urdulish
faq_018,booking,Site visit kaise book kar sakte hain?,"Jee bilkul, mein aap ke liye convenient din aur time check kar ke visit schedule kar deta hoon.",urdulish
faq_019,booking,Kya visit cancel ya reschedule ho sakti hai?,"Jee haan, koi masla nahi — mein aap ki booking reschedule ya cancel kar sakta hoon, bas mujhe naya time bata dijiye.",urdulish
faq_020,company,Aap logo par bharosa kyun karoon?,"Ye sawal bilkul jayez hai jab itni bari investment ki baat ho. Humare paas registered properties aur verified listings hain, aur mein aap ko specific details share kar sakta hoon.",urdulish
faq_021,pricing,Kya listed price se kam mein deal ho sakta hai?,Listed price se neeche quote karne ke liye human agent ki approval chahiye hoti hai. Mein ye request aage forward kar sakta hoon.,urdulish
