id,property_id,text
desc_prop_001,1,"Spacious 1-Bed Farm House in DHA Phase 5, Lahore. Recently renovated with modern fittings and ample natural light in every room. Amenities include Mini Golf Course, 24/7 Security, Community Park. Suitable for both end-users and investors given its location and condition."
desc_prop_002,2,"Spacious 1-Bed Room in North Nazimabad, Karachi. Recently renovated with modern fittings and ample natural light in every room. Amenities include Underground Electricity, Mini Golf Course, CCTV Surveillance. Close proximity to schools, hospitals, and commercial areas adds to its convenience."
desc_prop_003,3,"Luxury 3-Bed Lower Portion in Malir, Karachi. Located within a gated community with dedicated security and well-planned streets. Amenities include Gymnasium, 24/7 Security, Broadband Internet. Close proximity to schools, hospitals, and commercial areas adds to its convenience."
desc_prop_004,4,"Spacious 5-Bed Lower Portion in Bahria Town Rawalpindi, Rawalpindi. Recently renovated with modern fittings and ample natural light in every room. Amenities include Mini Golf Course, Community Park, Wide Roads. Full amenities access is available within walking distance of the property."
desc_prop_005,5,"Modern 3-Bed Upper Portion in Johar Town, Lahore. Situated in a quiet residential block, ideal for families seeking a peaceful environment. Amenities include Club House, CCTV Surveillance, Kids Play Area. A great pick for investors seeking a well-located, well-maintained property."
desc_prop_006,6,"Luxury 1-Bed Farm House in Satellite Town, Rawalpindi. Freshly built with contemporary finishes, located close to main boulevards and markets. Amenities include 24/7 Security, Community Park, Gated Community. Close proximity to schools, hospitals, and commercial areas adds to its convenience."
desc_prop_007,7,"Well-maintained 2-Bed Farm House in Bahria Town Islamabad, Islamabad. Freshly built with contemporary finishes, located close to main boulevards and markets. Amenities include Backup Generator, Community Park, Solar Panels. Close proximity to schools, hospitals, and commercial areas adds to its convenience."
desc_prop_008,8,"Spacious 1-Bed Room in Clifton, Karachi. Situated in a quiet residential block, ideal for families seeking a peaceful environment. Amenities include 24/7 Security, Covered Parking, Swimming Pool. Close proximity to schools, hospitals, and commercial areas adds to its convenience."
desc_prop_009,9,"Contemporary 1-Bed Room in Jaranwala Road, Faisalabad. Located within a gated community with dedicated security and well-planned streets. Amenities include Gymnasium, Backup Generator, BBQ Area. Close proximity to schools, hospitals, and commercial areas adds to its convenience."
desc_prop_010,10,"Modern 2-Bed Farm House in Bahria Town Rawalpindi, Rawalpindi. Recently renovated with modern fittings and ample natural light in every room. Amenities include 24/7 Security, Rooftop Terrace, Club House. Ideal for a small to mid-size family looking for a ready-to-move residential option."
desc_prop_011,11,"Modern 4-Bed Penthouse in North Nazimabad, Karachi. Freshly built with contemporary finishes, located close to main boulevards and markets. Amenities include Underground Electricity, BBQ Area, Solar Panels. Full amenities access is available within walking distance of the property."
desc_prop_012,12,"Luxury 5-Bed Farm House in DHA Phase 5, Lahore. Recently renovated with modern fittings and ample natural light in every room. Amenities include Wide Roads, Sewerage System, Underground Electricity. Ideal for a small to mid-size family looking for a ready-to-move residential option."
desc_prop_013,13,"Well-maintained 4-Bed Penthouse in North Nazimabad, Karachi. Situated in a quiet residential block, ideal for families seeking a peaceful environment. Amenities include Rooftop Terrace, Gated Community, Mini Golf Course. A great pick for investors seeking a well-located, well-maintained property."
desc_prop_014,14,"Spacious 1-Bed Room in Gulberg, Lahore. Recently renovated with modern fittings and ample natural light in every room. Amenities include Underground Electricity, Rooftop Terrace, Covered Parking. Full amenities access is available within walking distance of the property."
desc_prop_015,15,"Charming 1-Bed Room in DHA Phase 2 Rawalpindi, Rawalpindi. Located within a gated community with dedicated security and well-planned streets. Amenities include Gymnasium, Wide Roads, Mosque. A great pick for investors seeking a well-located, well-maintained property."
desc_prop_016,16,"Spacious 6-Bed Farm House in Model Town, Lahore. Freshly built with contemporary finishes, located close to main boulevards and markets. Amenities include Kids Play Area, Covered Parking, Broadband Internet. Ideal for a small to mid-size family looking for a ready-to-move residential option."
desc_prop_017,17,"Spacious 5-Bed Lower Portion in Gulshan-e-Iqbal, Karachi. Corner plot design allows extra sunlight and cross-ventilation throughout the home. Amenities include Rooftop Terrace, Gymnasium, BBQ Area. Suitable for both end-users and investors given its location and condition."
