id,question,expected_route,actual_route,answerable,refused,n_citations,grounded,retrieval_ok,hallucinated,answer_preview
1,What is the average price of houses for sale in Lahore?,structured,structured,True,False,1,True,True,False,"Across 31 matching listings, prices range from PKR 1,420,000 to PKR 17,342,000, averaging PKR 6,313,645."
2,What is the cheapest property currently for sale?,structured,structured,True,False,1,True,True,False,"Property #22: 5-bed Penthouse in Satellite Town, Rawalpindi — PKR 51,100 (For Rent), 2.97 Marla, 5 bath(s), listed by Usman Chaudhry (Prime Estate Consultants)."
3,What is the most expensive property for sale in Karachi?,structured,structured,True,False,1,True,True,False,"Property #296: 6-bed Lower Portion in Clifton, Karachi — PKR 19,386,000 (For Sale), 23.99 Marla, 5 bath(s), listed by Ayesha Sheikh (City Housing Marketing)."
4,Show me 2 bedroom flats for rent in Islamabad.,structured,structured,True,True,0,True,False,False,"I couldn't find this in our verified property data, so I can't answer that reliably. Could you rephrase, or ask about a specific city, budget, or property?"
5,Are there any 3 bedroom houses for sale in Karachi under 20 million?,structured,structured,False,True,0,True,True,False,"I couldn't find this in our verified property data, so I can't answer that reliably. Could you rephrase, or ask about a specific city, budget, or property?"
6,Who is the listing agent for property number 5?,structured,structured,True,False,1,True,True,False,"Property #5: 3-bed Upper Portion in Johar Town, Lahore — PKR 7,635,000 (For Sale), 11.19 Marla, 3 bath(s), listed by Sara Javed (Prime Estate Consultants)."
7,What agency is handling property number 215?,structured,structured,True,False,1,True,True,False,"Property #215: 4-bed Penthouse in DHA Phase 6, Lahore — PKR 11,089,000 (For Sale), 14.55 Marla, 4 bath(s), listed by Bilal Sheikh (Aiwan-e-Property)."
8,How large (in marla) is property number 136?,structured,structured,True,False,1,True,True,False,"Property #136: 5-bed Lower Portion in DHA Phase 6, Lahore — PKR 8,399,000 (For Sale), 18.82 Marla, 5 bath(s), listed by Hassan Iqbal (City Housing Marketing)."
9,How many bathrooms does property number 193 have?,structured,structured,True,False,1,True,True,False,"Property #193: 5-bed Flat in Wapda Town, Lahore — PKR 6,851,000 (For Sale), 11.2 Marla, 5 bath(s), listed by Hassan Iqbal (Skyline Properties)."
10,What is the average rent for flats in Rawalpindi?,structured,structured,True,False,1,True,True,False,"Across 15 matching listings, prices range from PKR 51,100 to PKR 808,000, averaging PKR 271,680."
11,What documents are required to buy a property in Pakistan?,semantic,semantic,True,False,3,True,True,False,Q: Buy karne ke liye kaun se documents chahiye? A: CNIC copy aur proof of funds required hoti hai. Overseas Pakistanis ke liye Power of Attorney ke zariye bhi t
12,How does an installment payment plan typically work?,semantic,semantic,True,False,3,True,True,False,Q: Kya installment plan available hai har property par? A: Zyadatar under-construction aur naye launch properties par installment plans available hain. Ready-to
13,Is property purchase in Pakistan subject to tax?,semantic,semantic,True,False,3,True,True,False,"Q: Property transfer par tax lagta hai kya? A: Jee haan, buyer ko withholding tax dena hota hai aur seller ko capital gains tax, rate filer status aur holding p"
14,Can overseas Pakistanis buy property remotely?,semantic,semantic,True,False,3,True,True,False,"Q: Kya overseas Pakistani property remotely buy kar sakte hain? A: Jee bilkul, Power of Attorney embassy ya consulate se attest kara ke Pakistan mein representa"
15,What is the difference between a Marla and a Kanal?,semantic,hybrid,True,True,0,True,False,False,"I couldn't find this in our verified property data, so I can't answer that reliably. Could you rephrase, or ask about a specific city, budget, or property?"
16,Describe property number 5 and its amenities.,semantic,semantic,True,False,3,True,True,False,"Modern 1-Bed Room in DHA Phase 5, Lahore. Located within a gated community with dedicated security and well-planned streets. Amenities include Kids Play Area, C"
17,Tell me about affordable houses for sale in Faisalabad and what amenities they include.,hybrid,hybrid,True,False,8,True,True,False,"Property #99: 4-bed House in Jaranwala Road, Faisalabad — PKR 2,395,000 (For Sale), 2.96 Marla, 4 bath(s), listed by Kashif Iqbal (Metro Homes Realty). Property"
18,What is the current State Bank of Pakistan policy interest rate?,none,none,False,True,0,True,True,False,"I couldn't find this in our verified property data, so I can't answer that reliably. Could you rephrase, or ask about a specific city, budget, or property?"
19,Will property prices in DHA Lahore double in the next 5 years?,none,none,False,True,0,True,True,False,"I couldn't find this in our verified property data, so I can't answer that reliably. Could you rephrase, or ask about a specific city, budget, or property?"
20,What is the phone number of the agent for property number 999999?,structured,structured,False,True,0,True,True,False,"I couldn't find this in our verified property data, so I can't answer that reliably. Could you rephrase, or ask about a specific city, budget, or property?"
